Total: 21 records
==================================================================================================================================
Program ID                     | Canonical                           | Raw Name                                 | Method         
----------------------------------------------------------------------------------------------------------------------------------
food_technology                | Kỹ thuật Thực phẩm                  | Công nghệ Dệt May                        | thpt_score     
electronics_telecom            | Kỹ thuật Điện tử - Viễn thông       | Điện tử và Viễn thông                    | thpt_score     
data_science                   | Khoa học Dữ liệu                    | Khoa học Dữ liệu và Trí tuệ Nhân tạo     | thpt_score     
computer_science               | Khoa học Máy tính                   | Khoa học máy tính - ĐH Troy (Hoa Kỳ)     | thpt_score     
mechatronics                   | Kỹ thuật Cơ điện tử                 | Kỹ thuật Cơ điện tử                      | thpt_score     
control_automation             | Kỹ thuật Điều khiển - Tự động hóa   | Kỹ thuật Điều khiển - Tự động hóa        | thpt_score     
mechanical_engineering         | Kỹ thuật Cơ khí                     | Kỹ thuật Hàng không                      | thpt_score     
chemical_engineering           | Kỹ thuật Hóa học                    | Kỹ thuật hạt nhân                        | thpt_score     
electrical_engineering         | Kỹ thuật Điện                       | Kỹ thuật in                              | thpt_score     
environmental_engineering      | Kỹ thuật Môi trường                 | Kỹ thuật Ô tô                            | thpt_score     
materials_science              | Khoa học và Kỹ thuật Vật liệu       | Kỹ thuật Vật liệu                        | thpt_score     
bioengineering                 | Kỹ thuật Sinh học                   | Kỹ thuật Y sinh                          | thpt_score     
education_technology           | Công nghệ Giáo dục                  | Quản lý giáo dục                         | thpt_score     
business_administration        | Quản trị Kinh doanh                 | Quản trị kinh doanh - ĐH Troy (Hoa Kỳ)   | thpt_score     
industrial_psychology          | Tâm lý học Công nghiệp và Tổ chức   | Tâm lý học công nghiệp và tổ chức        | thpt_score     
FL2                            | Tiếng Anh Chuyên nghiệp Quốc tế     | Tiếng Anh Chuyên nghiệp Quốc tế          | thpt_score     
FL1                            | Tiếng Anh Khoa học Kỹ thuật và Côn  | Tiếng Anh Khoa học Kỹ thuật và Công ngh  | thpt_score     
FL4                            | Tiếng Hàn Khoa học và Công nghệ     | Tiếng Hàn Khoa học và Công nghệ          | thpt_score     
FL3                            | Tiếng Trung Khoa học và Công nghệ   | Tiếng Trung Khoa học và Công nghệ        | thpt_score     
mathematics                    | Toán học                            | Toán - Tin                               | thpt_score     
physics                        | Vật lý Kỹ thuật                     | Vật lý Y khoa                            | thpt_score     
