Total: 69 clean records

Program ID                     | Canonical                                | Raw Name                                      | Method
--------------------------------------------------------------------------------------------------------------------------------------------
IT-E15                         | An toàn không gian số (Chương trình tiê  | An toàn không gian số (Chương trình tiên tiế  | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
MS2                            | Chương trình Kỹ thuật vi điện tử và côn  | Chương trình Kỹ thuật vi điện tử và công ngh  | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
IT1                            | Khoa học Máy tính                        | CNTT: Khoa học Máy tính                       | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
IT2                            | Khoa học Máy tính                        | CNTT: Kỹ thuật máy tính                       | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ME-LUH                         | Kỹ thuật Cơ điện tử                      | Cơ điện tử - ĐH Leibniz Hannover (Đức)        | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ME-NUT                         | Kỹ thuật Cơ điện tử                      | Cơ điện tử - ĐH Nagaoka (Nhật Bản)            | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ME-GU                          | Kỹ thuật Cơ khí                          | Cơ khí - Chế tạo máy - ĐH Griffith (Úc)       | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
TE-EP                          | Kỹ thuật Cơ khí                          | Cơ khí hàng không (Chương trình Việt - Pháp   | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
TX1                            | Công nghệ Dệt May                        | Công nghệ Dệt May                             | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ED2                            | Công nghệ Giáo dục                       | Công nghệ giáo dục                            | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
IT-E7                          | Khoa học Máy tính                        | Công nghệ thông tin (Global ICT)              | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
IT-E6                          | Khoa học Máy tính                        | Công nghệ thông tin (Việt-Nhật) (Chương trìn  | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
IT-EP                          | Khoa học Máy tính                        | Công nghệ thông tin (Việt-Pháp) (Chương trìn  | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
MS3                            | Kỹ thuật Cơ khí                          | Công nghệ vật liệu polyme và compozit         | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ET-LUH                         | Điện tử-Viễn thông - ĐH Leibniz Hannove  | Điện tử-Viễn thông - ĐH Leibniz Hannover (Đứ  | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ET1                            | Kỹ thuật Điện tử - Viễn thông            | Điện tử và Viễn thông                         | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
EE-E18                         | Hệ thống điện và năng lượng tái tạo (Ch  | Hệ thống điện và năng lượng tái tạo (Chương   | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ET-E9                          | Kỹ thuật In                              | Hệ thống nhúng thông minh và IoT (Chương trì  | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
MI2                            | Hệ thống Thông tin                       | Hệ thống thông tin quản lý                    | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
CH2                            | Kỹ thuật Hóa học                         | Hóa học                                       | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
CH-E20                         | Hóa học Mỹ phẩm (Chương trình tiên tiến  | Hóa học Mỹ phẩm (Chương trình tiên tiến)      | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
EM-E17                         | Kế toán                                  | Kế toán (Chương trình tiên tiến)              | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
IT-E10                         | Khoa học Dữ liệu và Trí tuệ Nhân tạo     | Khoa học Dữ liệu và Trí tuệ Nhân tạo          | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
TROY-IT                        | Khoa học Máy tính                        | Khoa học máy tính - ĐH Troy (Hoa Kỳ)          | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
MI-E22                         | Kỹ thuật In                              | Khoa học tính toán cho các hệ thống thông mi  | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
MS-E3                          | Khoa học và Kỹ thuật Vật liệu            | Khoa học và Kỹ thuật Vật liệu (Chương trình   | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ME1                            | Kỹ thuật Cơ điện tử                      | Kỹ thuật Cơ điện tử                           | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ME-E1                          | Kỹ thuật Cơ điện tử                      | Kỹ thuật Cơ điện tử (Chương trình tiên tiến)  | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ME2                            | Kỹ thuật Cơ khí                          | Kỹ thuật Cơ khí                               | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
TE2                            | Kỹ thuật Cơ khí                          | Kỹ thuật Cơ khí động lực                      | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
